KIC_ID,TCE_num,Period,Depth,Duration,target_label
757450,1,8.884922995,16053.4,2.07004,1
1026032,1,8.460438928,76412.9,4.73492,2
1293031,1,0.53936593,145.0,5.434,3
1432214,1,161.78832712,87750.0,5.31,2
1432789,1,9.93146307,398.6,5.678,1
1433962,1,1.5926331809999998,633.1,5.5605,2
1433980,1,1.5926341609999999,155156.0,8.9488,2
1571511,1,14.022451457,20082.9,8.08619,2
1575690,1,2.252417903,32296.0,1.9767,2
1718189,1,21.85362905,355.6,3.4389999999999996,1
1718189,2,13.0607936,236.6,3.215,1
1722276,1,569.934135,18904.0,4.1904,3
1724719,1,5.79179934,118.5,3.4739999999999998,1
1725016,1,7.40742502,442.0,3.675,1
1725193,1,2.96384168,35652.8,5.4768,2
1865042,1,3.4815917,135.2,1.8069,1
1868404,1,6.12601169,40.2,1.733,3
1870398,1,43.142257,283.2,61.73,2
1871056,1,40.8065333,313.9,13.135,1
1871056,2,140.10765,266.8,18.503,1
1873513,1,3.290304098,13552.6,1.7215,1
1995519,1,19.940121100000002,758.9,4.283,1
1995712,1,462.12069,633.7,10.42,3
1995732,1,77.36241476,96585.8,12.1317,2
1996180,1,3.02558494,128.3,3.0008,1
1996679,1,145.56249259999998,2931.6,5.4126,2
2010152,1,317.74527,206.6,17.54,3
2010191,1,3.43525124,152.2,4.5089999999999995,3
2010607,1,18.622214000000003,5832.0,4.42,3
2012722,2,2.32539968,288.1,16.791,3
2014991,1,6.49676881,135.0,2.5269999999999997,2
2019076,1,3.564614021,94342.0,3.44204,2
2021440,1,7.81153999,912.8,5.984,2
2141783,1,116.52143170000001,771.5,5.577000000000001,2
2142522,1,13.32354078,116.6,3.873,1
2161623,1,2.283466438,864260.0,7.7999,2
2162994,1,4.101595158,366585.0,6.103619999999999,2
2165002,1,16.56806842,1331.4,4.2647,1
2165002,2,47.3329299,931.5,2.708,1
2165352,1,0.7906069,689.2,3.3996,3
2166200,1,8.096939227,142891.0,2.8833,2
2167444,1,2.43574046,6223.0,22.25,3
2167890,1,2.64830047,12668.0,2.6395,2
2302548,1,10.38122447,801.5,2.715,1
2302548,2,24.5709023,764.2,3.5869999999999997,1
2302758,1,0.5421226170000001,88.3,1.2830000000000001,2
2304320,1,16.54081386,370.0,2.5996,1
2305255,1,24.5714867,506.4,29.96,3
2305372,1,1.40469182,702439.0,6.2632699999999994,2
2305543,1,0.6811377959999999,105189.0,2.7287,2
2306740,1,10.306982793,341790.0,11.4277,2
2307206,1,204.0329342,411374.0,17.5623,2
2307415,1,4.6126736,133.2,3.0643,1
2307415,2,13.12162167,196.9,3.6138,1
2308957,1,1.109841858,300713.0,8.11952,2
2309585,1,1.8385149680000001,2721.7,2.7391,2
2309587,1,1.838514245,118965.0,3.2601,2
2309719,1,54.35635067,10510.4,6.4345,2
2309910,1,1.8437362000000002,341.1,21.04,3
2436378,1,8.53161917,65744.0,2.9596,2
2437060,1,3.1870872410000004,129093.0,7.2897,2
2437112,1,18.79852,487.4,4.795,2
2437112,3,3.18740907,137.5,6.19,3
2437149,1,18.79862195,380204.0,7.4782,2
2437209,1,281.36926,12435.0,66.892,2
2437452,1,7.234965722,164848.0,7.0245,2
2437488,1,14.46993942,1235.3,7.455,2
2437783,1,7.45306683,46552.0,4.7617,2
2437804,1,7.45301717,551.5,3.685,2
2438061,1,2.442941283,37338.0,4.1847,2
2438062,1,2.44295727,15298.0,4.0656,2
2438070,1,2.442945167,677.9,4.0145,2
2438264,1,15.90688891,924.7,3.9879,1
2438264,2,4.973455252,741.6,1.6519,1
2438406,1,262.71162000000004,1449.0,7.72,3
2438490,1,3.31577795,94567.0,4.2349,2
2438502,1,8.360616221,28066.3,7.5385,2
2439243,1,26.0203329,1164.4,4.965,1
2440757,1,1.433769925,1976.3,1.8868,2
2441151,1,2.192009479,1475.6,2.9453,2
2441161,1,2.192004364,99583.0,3.075,2
2441495,1,12.49340725,715.7,2.2614,1
2442084,1,49.788613011,219219.0,7.418069999999999,2
2442448,1,76.6139446,498.7,10.22,1
2445129,1,10.31872301,871.7,3.8360000000000003,2
2445134,1,8.412008943,136113.0,5.41096,2
2445975,1,3.388887193,11267.8,2.4475,2
2446134,1,39.1307086,201.0,2.295,3
2446623,1,175.06586091,45134.0,4.5181,2
2449053,1,0.73975345,481.8,4.2,2
2449074,1,4.94402197,363.3,4.062,2
2449090,1,4.944046127,112503.0,4.503340000000001,2
2449101,1,0.739761008,292.1,7.5889999999999995,2
2450716,1,1.38607973,64.6,8.7,2
2452440,1,8.097050622000001,65620.0,5.6736,2
2452450,1,8.0970583,680.7,5.699,2
2556650,1,2.852348262,1402.9,0.7051,1
2557430,1,0.648868342,34769.5,2.82428,2
2557816,1,9.3789167,563.5,3.3427,1
2558370,1,0.546248198,114528.0,2.1081,2
2568971,1,5.088582739,448.9,7.6066,3
2569494,1,1.523298835,195071.0,5.9083,2
2569516,1,45.5827119,76.5,3.193,3
2571238,1,9.286964466,691.7,3.3649,1
2573056,1,0.631795416,145.2,1.0703,2
2573108,1,5.09506,23.6,5.73,3
2574201,1,37.478349200000004,1467.9,5.317,2
2574543,1,6.70258007,859.0,4.632,2
2576107,1,205.58333090000002,24872.0,6.0353,2
2576692,1,87.87826191,339056.0,12.8138,2
2578017,1,0.5925629689999999,1546.4,3.0869,2
2580872,1,15.926632768,271858.0,7.42888,3
2581316,1,217.83184293,9148.7,21.305999999999997,1
2581316,2,10.51421162,85.4,3.877,1
2581554,1,47.1484324,1113.8,3.1347,1
2582800,1,615.1603299999999,267.1,3.958,3
2583777,1,0.958116585,2374.1,2.3496,2
2584163,1,14.559855599999999,290.6,5.624,1
2692377,1,1.5416765469999998,296.5,1.9118,1
2693092,1,39.841522897,143685.0,8.790239999999999,2
2693736,1,12.12401737,788.4,3.3091,1
2694632,1,0.92225589,33.0,4.227,3
2695110,1,44.18938922,4293.5,6.8151,2
2696703,1,6.09406648,3027.0,2.085,2
2697935,1,21.5135234,1583.8,77.983,2
2707097,1,0.692807507,25338.3,1.49242,2
2708156,1,1.891268461,641910.0,8.24958,2
2708270,1,1.89125883,274.5,4.656000000000001,2
2708614,1,52.884577,11969.0,7.892,2
2711114,1,1.429439352,3367.1,2.424,2
2711123,1,2.858879267,644.5,2.3753,2
2711597,1,0.98041685,105.7,0.919,2
2712825,1,18.384953,92.9,5.92,3
2713049,1,2.5391831469999997,382.1,2.4282,1
2715135,1,5.7477119089999995,820.1,1.8923,1
2716801,1,42.5217006,685.6,5.723,1
2716853,1,18.82744023,1006.2,4.664,1
2716853,2,68.832195,678.1,3.31,3
2719873,1,17.279290765,164308.0,5.0759099999999995,2
2720354,1,2.821328194,64776.0,5.02692,2
2721030,1,6.10027621,766.6,4.7476,1
2831055,1,2.20923119,59.8,2.392,1
2837111,1,8.734885199999999,270.7,4.49,1
2849805,1,3.749105745,182.6,1.9826,1
2851100,1,0.890110752,321.5,0.8774,2
2852528,1,11.9615433,424.5,3.1289999999999996,2
2852560,1,11.961308501,310679.0,4.6414,3
2853093,1,161.52783469999997,4653.6,3.6734,1
2854698,1,8.18739443,517.6,3.0472,1
2854698,2,76.04981629999999,445.9,7.1579999999999995,1
2854839,1,1.05569286,37.5,1.2890000000000001,3
2854914,1,25.93406406,414.5,4.6142,1
2854914,2,83.4463485,503.0,6.5360000000000005,1
2854948,2,0.97430309,34976.0,2.1088,2
2856960,2,204.280255,10579.0,37.2,2
2859299,1,0.643703667,172.0,0.8009999999999999,3
2860594,1,5.499941793,47751.3,11.3096,2
2860788,1,2.629870555,101310.0,6.606,2
2970804,1,0.686994057,2797.1,3.5252,2
2973509,1,6.62761199,227141.0,6.15281,3
2975770,1,71.52543938,5904.3,5.9189,1
2985767,1,14.07969236,169.5,1.375,1
2987027,1,17.276296682,10458.0,3.9473800000000003,1
2987433,1,420.92920358,86013.1,17.3985,2
2989404,1,3.553831111,191.8,3.1029,1
2989404,2,1.6783263,146.3,2.5123,1
2989706,1,1.257689465,945.6,0.8399,2
2990873,1,16.22378479,262.3,2.5462,1
2995392,1,30.4544418,472.1,6.896,1
2997455,1,1.129848432,4658.5,2.07578,2
2998124,1,28.597880332,85951.6,7.71925,2
3003019,1,0.502622858,146.0,3.085,2
3003991,1,7.244778994,99147.1,3.3873,2
3097352,1,4.029803201,191073.0,4.4301,2
3098184,1,15.2384539,7019.0,19.292,2
3098194,1,30.476518853,326626.0,10.2264,2
3098197,1,30.47639859,130569.0,17.9728,2
3102000,1,57.05999920000001,66168.0,7.462999999999999,2
3102024,1,13.782522208,248937.0,8.277619999999999,2
3102309,1,4.20253859,31.5,5.388999999999999,3
3102384,1,10.573751447000001,298.9,1.7259,1
3103227,1,225.58524500000001,754.9,11.165999999999999,1
3113266,1,0.9958614020000001,4993.8,1.1507,2
3114167,1,6.770300385,1304.0,2.0844,1
3114661,1,0.44429196600000004,10967.4,2.0792,2
3114667,1,0.888584158,412710.0,2.25012,2
3114811,1,11.08956602,148.1,6.2877,1
3115480,1,3.693702974,25208.0,3.37146,2
3116412,1,12.99204853,270.6,6.0175,1
3117046,1,359.1015,496.5,11.460999999999999,3
3118797,1,66.4159789,2053.2,7.061,1
3120320,1,10.265613245,150465.0,5.67553,2
